Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in,Resolution_Days
MWUE250500609,MPLS2025050203643,1000127462.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.150,UE,RBL,RBLSNI,Baroda Uttar pradesh GraminBank C o Bank of BarodaSareni229212RAIBAREILLY,,,,2025-05-02 15:26:44,2025-05-02 17:25:35,0days 01h:58m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.08253472222222222
MWUE250500606,MPLS2025050203640,1000127501.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.242,UE,RBL,RBLSGH,Baroda Uttar pradesh GraminBank C o Bank of BarodaShivgarh229308RAIBAREILLY,,,,2025-05-02 15:26:43,2025-05-02 17:25:35,0days 01h:58m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.0825462962962963
MWUE250500601,MPLS2025050203514,1000110129.0,NEW INDIA ASSURANCE.,4 Mbps,172.31.183.178,UE,RBL,RBLRBL,THE NEW INDIA ASSURANCE CO LTDRAE BARELI BO 422002MADHUR COMPLEX 460 CANALROAD PRAKASH NAGAR OPP SBIRAEBARELI,,,,2025-05-02 15:26:26,2025-05-05 11:26:50,2days 20h:00m,RBL LLM PHONES,C,RFO PENDING,Fault restored - System updation pending,,MPLS VPN LC,WC,2.8336111111111113
MAUE250500352,INC000022549542,1000507367.0,BANK OF INDIA BOI,4 Mbps,10.22.123.54,UE,RBL,RBLRBL,SOL70220BANKOFINDIA AIIMSCAMPUS RAE BARELI BRANCHDALMAU ROAD MUNSHI GANJTTAR PRADESH 229 001 0535RAIBAREILLY,,,,2025-05-02 07:12:43,2025-05-02 11:45:06,0days 04h:32m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,BOI-API,0.18915509259259258
MWUE250500160,MPLS2025050100953,1000290734.0,MANAGERPUNJAB NATIONAL BANK,2 Mbps,10.110.77.242,UE,RBL,RBLBCH,PNB BACHRAWAN  H NO-115 WORD NC/O ASHISH KUMAR&ALOK KUMAROPP OF BARODA GRAMEEN BANKCHANDRIKA NAGAR NAGAR PANCHAYARAEBARELI,,,,2025-05-01 12:24:41,2025-05-01 16:24:21,0days 03h:59m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.16643518518518519
MWUE250500122,MPLS2025050100723,1000100969.0,UNION BANK OF INDIA.,2 Mbps,10.90.60.202,UE,RBL,RBLBCH,Raibarely road Patel NagarColoney Bachhrawan DistrictRaibarely1RAIBAREILLY,,,,2025-05-01 11:24:55,2025-05-01 12:54:31,0days 01h:29m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.06222222222222222
MAUE250500043,198953,1000245802.0,LIC OF INDIA,2 Mbps,10.249.4.222,UE,RBL,RBLBCH,SO 21UT001 BACHHARANWA NR CENTRAL BANK LUCKNOW RD BACHHRAWAN 535RAIBAREILLY,,,,2025-05-01 10:25:45,2025-05-02 10:01:00,0days 23h:35m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,LIC-API,0.9828125
MWUE250500041,MPLS2025050100478,1000004842.0,INDIAN BANK.,2 Mbps,10.166.30.38,UE,RBL,RBLBCH,A/21 Near Patel Nagar Lucknow Allahabad Road Bacharwan RaeBareli DistRAIBAREILLY,,,,2025-05-01 10:24:30,2025-05-01 12:54:30,0days 02h:30m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.10416666666666667
MWUE250500039,MPLS2025050100476,1000173535.0,ALLAHABAD BANK (WANPROJECT),2 Mbps,10.225.6.70,UE,RBL,RBLMHJ,BACHHRAWAN ROAD IN FRONT OF KOTWALI MAHARAJGANJ DISTT.RAEBARELI,,,,2025-05-01 10:24:29,2025-05-01 12:54:34,0days 02h:30m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.10422453703703703
MSUE250500067,INC000046918880,1000065457.0,STATE BANK OF INDIA.,2 Mbps,10.126.46.178,UE,RBL,RBLMHJ,State Bank of IndiaMaharajganj Branch (11219) PO Maharajganj(522#/01945/16/535#)RAIBAREILLY,,,,2025-05-01 10:05:37,2025-05-01 11:48:26,0days 01h:42m,RBL LLM GE,C,CLOSED,Reason not updated,,MPLS VPN LC,SBI-API,0.07140046296296296
MSUE250500069,INC000046919026,1000065411.0,STATE BANK OF INDIA.,4 Mbps,10.126.44.158,UE,RBL,RBLSRT,State Bank of India SemrautaBranch (16707) Raibarelie(522#/03228/16/535#)1RAIBAREILLY,,,,2025-05-01 10:05:37,2025-05-02 19:40:25,1days 09h:34m,RBL LLM JAIS,C,CLOSED,Reason not updated,,MPLS VPN LC,SBI-API,1.3991666666666667
MSUE250500064,INC000046918845,1000065455.0,STATE BANK OF INDIA.,2 Mbps,10.126.47.14,UE,RBL,RBLBCH,State Bank of IndiaBachhrawan Branch (11221) PO Bachhrawan(522#/01947/16/535#)RAIBAREILLY,,,,2025-05-01 10:01:45,2025-05-01 11:48:26,0days 01h:46m,SUL BA ADMIN TEAM,C,CLOSED,Reason not updated,,MPLS VPN LC,SBI-API,0.07408564814814815
MWUE250500022,MPLS2025050100284,1000600140.0,DEPARTMENT OF POSTS DOP,2 Mbps,10.16.144.118,UE,RBL,RBLRBL,DOP WEG34076 CLASS CRAEBARELI RMS (COMPUTERIZED)RMS RAILWAYStationRAEBARELI,,,,2025-05-01 08:54:37,2025-05-02 11:25:15,1days 02h:30m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.1046064814814816
MWUE250500014,MPLS2025050100252,1000509546.0,DEPARTMENT OF POSTSDOP,2 Mbps,10.16.125.86,UE,RBL,RBLMHJ,POST OFFICEAHARWABHAWANI S.O--229135 RAEBARELIRAEBARELI,,,,2025-05-01 08:54:31,2025-05-02 11:25:15,1days 02h:30m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.104675925925926
