Prabal Plus Resolved Tickets - 16-06-2025 17:26:23 ( From  01-05-2025  To  31-05-2025),,,,,,,,,,,,,,,,,,,,,,
Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in
MWUE250511786,MPLS2025053002713,1000127493,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.206,UE,RBL,RBLRHW,Baroda Uttar pradesh GraminBank C o Bank of BarodaRahawan229303RAIBAREILLY,,,,2025-05-30 15:59:29,2025-05-31 11:32:14,0days 19h:32m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511768,MPLS2025053002478,1000127222,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.26,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaKhagipur Sandwa229125RAIBAREILLY,,,,2025-05-30 15:31:28,2025-05-31 11:32:14,0days 20h:00m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511765,MPLS2025053002464,1000127383,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.75.46,UE,RBL,RBLHDI,Baroda Uttar pradesh GraminBank C o Bank of BarodaHardoi229123RAIBAREILLY,,,,2025-05-30 15:31:23,2025-05-31 11:32:06,0days 20h:00m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511744,MPLS2025053002270,1000127492,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.246,UE,RBL,RBLMGV,Baroda Uttar pradesh GraminBank C o Bank of Barodamaugarvi229306RAIBAREILLY,,,,2025-05-30 15:29:23,2025-05-31 11:32:14,0days 20h:02m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511742,MPLS2025053002268,1000127354,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,192.168.99.186,UE,RBL,RBLRBL,Bank of Baroda Makhija MarketStation RoadRaebareli1RAIBAREILLY,,,,2025-05-30 15:29:22,2025-05-31 11:32:14,0days 20h:02m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511740,MPLS2025053002240,1000127501,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.242,UE,RBL,RBLSGH,Baroda Uttar pradesh GraminBank C o Bank of BarodaShivgarh229308RAIBAREILLY,,,,2025-05-30 15:29:13,2025-05-31 11:32:06,0days 20h:02m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511738,MPLS2025053002237,1000127451,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.98,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaSahjaura229122RAIBAREILLY,,,,2025-05-30 15:29:12,2025-05-31 11:32:14,0days 20h:03m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511717,MPLS2025053002130,1000501732,SIFY TECHNOLOGIES LIMITED,2 Mbps,10.206.15.134,UE,RBL,RBLJAS,SIFY TECHNOLOGIES LIMITEDCO PUNJAB SINDH BANK J0958KAIS BUILDING NR BUS STANDCHHATRAPATI SHAHUJI MAHARAJ NAGAR 229305RAEBARELI,,,,2025-05-30 15:02:08,2025-05-31 11:32:14,0days 20h:30m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511701,MPLS2025053001867,1000587703,Union Bank of India,2 Mbps,None,UE,RBL,RBLHRC,UNION BANK OF INDIAHARCHANDPUR BRANCH 569372RAILWAY STATION ROADUP 229303RAEBARELI,,,,2025-05-30 14:29:00,2025-05-31 11:32:14,0days 21h:03m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250511694,609740,1000173198,UCOBANK,2 Mbps,10.241.34.18,UE,RBL,RBLSGH,Shivgarh Branch In front of Mahesh Vilas Palace Shivgarh..RAEBARELI,,,,2025-05-30 14:15:52,2025-05-31 19:53:02,1days 05h:37m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
