Prabal Plus Resolved Tickets - 16-06-2025 17:26:23 ( From  01-05-2025  To  31-05-2025),,,,,,,,,,,,,,,,,,,,,,
Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in
MAUE250510552,208834,1000245793,LIC OF INDIA,2 Mbps,10.249.5.6,UE,RBL,RBLLGJ,SO 229T001 Lalganj SATELITE OFICE GANDHI CHAURAHA LALGANJ 535#/0RAIBAREILLY,,,,2025-05-27 16:06:00,2025-05-27 16:57:43,0days 00h:51m,RBL LLM LALGANJ,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,LIC-API
MWUE250510362,MPLS2025052701099,1000296451,MANAGERPUNJAB NATIONAL BANK,2 Mbps,10.110.81.154,UE,RBL,RBLMHJ,PUNJAB NATIONAL BANK ATHRETA Maharajganj RBL,,,,2025-05-27 13:28:27,2025-05-27 17:59:07,0days 04h:30m,RBL LLM GE,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510353,MPLS2025052701066,1000272106,MANAGER PNB,2 Mbps,10.110.78.254,UE,RBL,RBLGNT,PUNJAB NATIONAL BANKCURRENCY CHEST RAIBARELIRAEBARELI,,,,2025-05-27 12:58:55,2025-05-27 17:59:07,0days 05h:00m,RBL LLM PHONES,C,RFO PENDING,Customer Modem/Router fault,NA,MPLS VPN LC,WC
MWUE250510315,MPLS2025052700669,1000446990,ALLAHABAD BANKWAN PROJECT,2 Mbps,10.225.19.122,UE,RBL,RBLRBL,SALON BRANCHBR CODE 212092PRATAPGARH ROADSALONRAEBARELI,,,,2025-05-27 11:58:32,2025-05-27 17:59:07,0days 06h:00m,RBL SSA LLM SALON,C,RFO PENDING,OFC cable fault - WIP,NA,MPLS VPN LC,WC
MWUE250510270,MPLS2025052700143,1000501734,SIFY TECHNOLOGIES LIMITED,512 Kbps,10.206.15.138,UE,RBL,RBLJAG,SIFY TECHNOLOGIES LIMITEDCO PUNJAB SINDH BANKJ0959 ALLAHBAD ROADRAI BAREILLY 229402RAEBARELI,,,,2025-05-27 11:27:49,2025-05-27 17:59:06,0days 06h:31m,RBL SSA LLM SALON,C,RFO PENDING,OFC system fault - WIP,NA,MPLS VPN LC,WC
MAUE250510236,600446,1000526517,UCO BANK CBS PROJECT IT,2 Mbps,10.241.80.90,UE,RBL,RBLBCN,BACHHRAWAN BRANCHA/21PATEL NAGARRAEBARELI ROADRAEBARELI,,,,2025-05-27 10:48:14,2025-05-27 11:57:30,0days 01h:09m,RBL LLM GE,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,UCO-API
MSUE250510263,INC000047073687,1000323133,STATE BANK OF INDIA,4 Mbps,10.126.48.50,UE,RBL,RBLBGJ,"STATE BANK OF INDIABABUGANJ BRANCH ( 16705 )VILL & PO -BABUGANJ,RAE BARELI - 229401RAIBAREILLY",,,,2025-05-27 10:29:39,2025-05-27 14:28:25,0days 03h:58m,RBL SSA LLM SALON,C,CLOSED,OFC system fault - WIP,NA,MPLS VPN LC,SBI-API
MSUE250510262,INC000047073550,1000431568,STATE BANK OFINDIA,4 Mbps,10.126.45.82,UE,RBL,RBLRBL,STATE BANK OF INDIA BR CODE 16863SUCHI AMETHIVILL SUCHI POST AMETHI AMETHIVILL SUCHI POST AMETHI AMETHIRAIBAREILLY,,,,2025-05-27 10:09:42,2025-05-27 13:00:25,0days 02h:50m,RBL LLM PHONES,C,CLOSED,OFC system fault - WIP,NA,MPLS VPN LC,SBI-API
MSUE250510246,INC000047073000,1000065351,STATE BANK OF INDIA.,2 Mbps,10.126.41.242,UE,RBL,RBLSLN,State Bank of India SalonBranch (1095) P O Salon(522#/00912/16/5311)1RAIBAREILLY,,,,2025-05-27 10:01:48,2025-05-27 13:00:25,0days 02h:58m,RBL SSA LLM SALON,C,CLOSED,OFC cable fault - WIP,NA,MPLS VPN LC,SBI-API
MWUE250510186,MPLS2025052604842,1000096201,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",4 Mbps,10.150.92.218,UE,RBL,RBLJAG,JAGATPUR V AND PO JAGATPURDISTTRAEBARELI1RAIBAREILLY,,,,2025-05-26 18:07:09,2025-05-27 13:28:53,0days 19h:21m,RBL SSA LLM SALON,C,RFO PENDING,OFC system fault - WIP,NA,MPLS VPN LC,WC
MWUE250510178,MPLS2025052604834,1000127306,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.50,UE,RBL,RBLPSD,Vill Parshadepur Dist1Amethi1RAIBAREILLY,,,,2025-05-26 18:07:07,2025-05-27 13:28:53,0days 19h:21m,RBL SSA LLM SALON,C,RFO PENDING,OFC cable fault - WIP,NA,MPLS VPN LC,WC
MWUE250510175,MPLS2025052604831,1000127311,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.6,UE,RBL,RBLDEH,V&P DEEH DISTT RAEBARELI MNSW/oRouter1RAIBAREILLY,,,,2025-05-26 18:07:06,2025-05-27 13:28:53,0days 19h:21m,RBL LLM JAIS,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510147,MPLS2025052604531,1000127222,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.26,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaKhagipur Sandwa229125RAIBAREILLY,,,,2025-05-26 18:05:39,2025-05-27 13:28:53,0days 19h:23m,RBL LLM PHONES,C,RFO PENDING,Customer Modem/Router fault,NA,MPLS VPN LC,WC
MWUE250510148,MPLS2025052604532,1000127200,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.34,UE,RBL,RBLBGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaBabuganj229404RAIBAREILLY,,,,2025-05-26 18:05:39,2025-05-27 13:28:53,0days 19h:23m,RBL SSA LLM SALON,C,RFO PENDING,OFC system fault - WIP,NA,MPLS VPN LC,WC
MWUE250510149,MPLS2025052604533,1000127223,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.150,UE,RBL,RBLPSD,Baroda Uttar pradesh GraminBank C o Bank of BarodaParsedepur229129RAIBAREILLY,,,,2025-05-26 18:05:39,2025-05-27 13:28:53,0days 19h:23m,RBL SSA LLM SALON,C,RFO PENDING,OFC cable fault - WIP,NA,MPLS VPN LC,WC
MWUE250510145,MPLS2025052604529,1000265586,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.77.126,UE,RBL,RBLRBL,Baroda Uttarpradesh Gramin Bank C o Bank of Baroda Paho 229209RAIBAREILLY,,,,2025-05-26 18:05:38,2025-05-27 13:28:53,0days 19h:23m,RBL LLM PHONES,C,RFO PENDING,Copper too much lossy,NA,MPLS VPN LC,WC
MWUE250510146,MPLS2025052604530,1000127361,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.74.210,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaGarhi Muttawalli POMunshiganj   229405RAIBAREILLY,,,,2025-05-26 18:05:38,2025-05-27 13:28:53,0days 19h:23m,RBL LLM PHONES,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,WC
MWUE250510114,MPLS2025052604367,1000127493,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.206,UE,RBL,RBLRHW,Baroda Uttar pradesh GraminBank C o Bank of BarodaRahawan229303RAIBAREILLY,,,,2025-05-26 18:04:50,2025-05-27 13:28:53,0days 19h:24m,RBL LLM GE,C,RFO PENDING,Customer office shifting pending - WIP,NA,MPLS VPN LC,WC
MWUE250510105,MPLS2025052604283,1000127492,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.246,UE,RBL,RBLMGV,Baroda Uttar pradesh GraminBank C o Bank of Barodamaugarvi229306RAIBAREILLY,,,,2025-05-26 18:04:25,2025-05-27 13:28:52,0days 19h:24m,RBL LLM GE,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510092,MPLS2025052604227,1000025753,VIJAYA BANKNOW BOB,2 Mbps,10.201.12.158,UE,RBL,RBLGDJ,VIJAYA BANK 7116 (DATA-11416) RAEBARELI BRANCH 1ST FLOOR.SUPER..MARKET..FIROZ..GANDHI..RAEBARELI,,,,2025-05-26 18:04:04,2025-05-27 13:28:52,0days 19h:24m,RBL LLM LALGANJ,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510080,MPLS2025052604165,1000127501,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.242,UE,RBL,RBLSGH,Baroda Uttar pradesh GraminBank C o Bank of BarodaShivgarh229308RAIBAREILLY,,,,2025-05-26 18:03:44,2025-05-27 13:28:52,0days 19h:25m,RBL LLM GE,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510070,MPLS2025052604153,1000127451,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.98,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaSahjaura229122RAIBAREILLY,,,,2025-05-26 18:03:40,2025-05-27 13:28:52,0days 19h:25m,RBL LLM GE,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510061,MPLS2025052604116,1000127390,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.210,UE,RBL,RBLMGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaMajourganj229128RAIBAREILLY,,,,2025-05-26 17:59:48,2025-05-27 13:28:52,0days 19h:29m,RBL SSA LLM SALON,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,WC
MWUE250510023,MPLS2025052603982,1000127354,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,192.168.99.186,UE,RBL,RBLRBL,Bank of Baroda Makhija MarketStation RoadRaebareli1RAIBAREILLY,,,,2025-05-26 17:59:12,2025-05-27 13:28:52,0days 19h:29m,RBL LLM PHONES,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MWUE250510013,MPLS2025052603810,1000127383,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.75.46,UE,RBL,RBLHDI,Baroda Uttar pradesh GraminBank C o Bank of BarodaHardoi229123RAIBAREILLY,,,,2025-05-26 17:58:20,2025-05-27 13:28:52,0days 19h:30m,RBL LLM GE,C,RFO PENDING,Copper too much lossy,NA,MPLS VPN LC,WC
MWUE250510002,MPLS2025052603753,1000127450,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.114,UE,RBL,RBLNST,Baroda Uttar pradesh GraminBank C o Bank of BarodaNihastha229208RAIBAREILLY,,,,2025-05-26 17:58:04,2025-05-27 13:28:52,0days 19h:30m,RBL LLM LALGANJ,C,RFO PENDING,Copper too much lossy,NA,MPLS VPN LC,WC
MWUE250509920,MPLS2025052602632,1000100969,UNION BANK OF INDIA.,2 Mbps,10.90.60.202,UE,RBL,RBLBCH,Raibarely road Patel NagarColoney Bachhrawan DistrictRaibarely1RAIBAREILLY,,,,2025-05-26 14:55:24,2025-05-27 13:28:52,0days 22h:33m,RBL LLM GE,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,WC
MAUE250509906,INC000022651552,1000611761,BANK OF INDIABOI,2 Mbps,10.22.127.194,UE,RBL,RBLBCN,BOI BACHHRAWAN BRNR PATEL NAGAR COLONY GATENH 24 PRAYAGRAJ RD BACHHRAWANBACHHRAWANRAEBARELI,,,,2025-05-26 14:45:36,2025-05-28 19:39:22,2days 04h:53m,RBL LLM GE,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,BOI-API
MWUE250509856,MPLS2025052602404,1000100916,UNION BANK OF INDIA.,2 Mbps,10.90.60.206,UE,RBL,RBLLGJ,Near Behta chauraha LalganjDistRaibarely1RAIBAREILLY,,,,2025-05-26 14:25:36,2025-05-27 13:28:52,0days 23h:03m,RBL LLM LALGANJ,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,WC
MAUE250509842,598513,1000168824,UCOBANK,2 Mbps,10.241.34.102,UE,RBL,RBLKRB,Karhiya Bazar C/o Raja C S Singh Plot no 72 KarhiyaKothi Block Salon District AmethiRAEBARELI,,,,2025-05-26 14:07:37,2025-05-28 10:45:01,1days 20h:37m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MWUE250509804,MPLS2025052602142,1000004843,INDIAN BANK.,2 Mbps,10.166.30.46,UE,RBL,RBLUCH,KISHANDASPUR POST UNCHAAHAR BLOCK RAEBARILLY Dist.RAIBAREILLY,,,,2025-05-26 13:55:32,2025-05-27 13:28:52,0days 23h:33m,RBL SSA LLM SALON,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,WC
MWUE250509802,MPLS2025052602138,1000004842,INDIAN BANK.,2 Mbps,10.166.30.38,UE,RBL,RBLBCH,A/21 Near Patel Nagar Lucknow Allahabad Road Bacharwan RaeBareli DistRAIBAREILLY,,,,2025-05-26 13:55:30,2025-05-27 13:28:52,0days 23h:33m,RBL LLM GE,C,RFO PENDING,Local lead fault issue - WIP,NA,MPLS VPN LC,WC
MAUE250509785,598602,1000508144,UCO BANKCBS PROJECT IT,2 Mbps,10.241.34.110,UE,RBL,RBLJAS,BAHADURPUR BRANCHSOL ID 3041OPPOSITE RAJIV GANDHI INST.OF PETROLEUMJAYAS AMETHIRAEBARELI,,,,2025-05-26 13:52:41,2025-05-27 15:46:01,1days 01h:53m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MSUE250509693,INC000047065728,1000323133,STATE BANK OF INDIA,4 Mbps,10.126.48.50,UE,RBL,RBLBGJ,"STATE BANK OF INDIABABUGANJ BRANCH ( 16705 )VILL & PO -BABUGANJ,RAE BARELI - 229401RAIBAREILLY",,,,2025-05-26 11:17:28,2025-05-26 16:36:25,0days 05h:18m,RBL SSA LLM SALON,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MAUE250509618,597197,1000173197,UCOBANK,2 Mbps,10.241.34.22,UE,RBL,RBLBGJ,Babugang Branch S.N.Siksha Niketan Babuganj.RAEBARELI,,,,2025-05-26 10:36:24,2025-05-27 10:13:02,0days 23h:36m,RBL SSA LLM SALON,C,RFO PENDING,Fault restored - System updation pending,NA,MPLS VPN LC,UCO-API
MSUE250509624,INC000047063424,1000065455,STATE BANK OF INDIA.,2 Mbps,10.126.47.14,UE,RBL,RBLBCH,State Bank of IndiaBachhrawan Branch (11221) PO Bachhrawan(522#/01947/16/535#)RAIBAREILLY,,,,2025-05-26 10:01:37,2025-05-27 12:04:27,1days 02h:02m,SUL BA ADMIN TEAM,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MWUE250509563,MPLS2025052600139,1000509546,DEPARTMENT OF POSTSDOP,2 Mbps,10.16.125.86,UE,RBL,RBLMHJ,POST OFFICEAHARWABHAWANI S.O--229135 RAEBARELIRAEBARELI,,,,2025-05-26 09:53:43,2025-05-27 13:28:52,1days 03h:35m,RBL LLM GE,C,RFO PENDING,Copper too much lossy,NA,MPLS VPN LC,WC
MWUE250509562,MPLS2025052600135,1000199662,DIRECTOR PMU DEPARTMENT OFPOST,2 Mbps,10.16.114.130,UE,RBL,RBLSLN,(UPDS_EAST-0278 & CLASS C &WEG24258)SALON S O--229127SALONRAEBARELIRAEBARELI,,,,2025-05-26 09:53:42,2025-05-27 13:28:52,1days 03h:35m,RBL SSA LLM SALON,C,RFO PENDING,Customer Modem/Router fault,NA,MPLS VPN LC,WC
MWUE250509542,MPLS2025052304091,1000211386,NATIONAL THERMAL POWERCORPORATION,68 Mbps,172.27.96.174,UE,RBL,RBLUCH,NTPC UNCHAHAR PO UNCHAHAR RAIBAREILLY229406.RAEBARELI,,,,2025-05-24 00:24:45,2025-05-24 00:54:47,0days 00h:30m,RBL SSA LLM SALON,B,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509515,MPLS2025052303679,1000248305,CANARA BANK.,2 Mbps,10.20.163.2,UE,RBL,RBLAHR,CANARA BANK DP CODE 5758 (D-32531)VILL  AND PO BEHTA KALAN  TEHSIL LALGANJ RAE BARELI_RAEBARELI,,,,2025-05-23 17:29:21,2025-05-23 18:26:29,0days 00h:57m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509493,MPLS2025052303487,1000127492,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.246,UE,RBL,RBLMGV,Baroda Uttar pradesh GraminBank C o Bank of Barodamaugarvi229306RAIBAREILLY,,,,2025-05-23 17:28:04,2025-05-23 18:26:29,0days 00h:58m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509483,MPLS2025052303476,1000025753,VIJAYA BANKNOW BOB,2 Mbps,10.201.12.158,UE,RBL,RBLGDJ,VIJAYA BANK 7116 (DATA-11416) RAEBARELI BRANCH 1ST FLOOR.SUPER..MARKET..FIROZ..GANDHI..RAEBARELI,,,,2025-05-23 17:27:59,2025-05-23 18:55:19,0days 01h:27m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509451,MPLS2025052303287,1000127451,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.98,UE,RBL,RBLRBL,Baroda Uttar pradesh GraminBank C o Bank of BarodaSahjaura229122RAIBAREILLY,,,,2025-05-23 17:26:45,2025-05-23 18:26:26,0days 00h:59m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509448,MPLS2025052303284,1000127390,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.210,UE,RBL,RBLMGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaMajourganj229128RAIBAREILLY,,,,2025-05-23 17:26:43,2025-05-23 18:25:51,0days 00h:59m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509414,MPLS2025052303204,1000127354,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,192.168.99.186,UE,RBL,RBLRBL,Bank of Baroda Makhija MarketStation RoadRaebareli1RAIBAREILLY,,,,2025-05-23 17:26:10,2025-05-23 18:55:19,0days 01h:29m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509352,MPLS2025052302659,1000127493,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.206,UE,RBL,RBLRHW,Baroda Uttar pradesh GraminBank C o Bank of BarodaRahawan229303RAIBAREILLY,,,,2025-05-23 15:27:23,2025-05-24 16:23:56,1days 00h:56m,RBL LLM GE,C,RFO PENDING,Customer office shifting pending - WIP,NA,MPLS VPN LC,WC
MWUE250509329,MPLS2025052302553,1000127306,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.50,UE,RBL,RBLPSD,Vill Parshadepur Dist1Amethi1RAIBAREILLY,,,,2025-05-23 15:26:49,2025-05-24 16:23:56,1days 00h:57m,RBL SSA LLM SALON,C,RFO PENDING,Electricity supply issue,NA,MPLS VPN LC,WC
MWUE250509326,MPLS2025052302550,1000127311,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.6,UE,RBL,RBLDEH,V&P DEEH DISTT RAEBARELI MNSW/oRouter1RAIBAREILLY,,,,2025-05-23 15:26:47,2025-05-23 17:29:44,0days 02h:02m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509323,MPLS2025052302547,1000127559,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.210,UE,RBL,RBLRBL,GEGASON CROS POST MALKE GAONVIA PURE PANDEY DISTTRAEBARELI1RAIBAREILLY,,,,2025-05-23 15:26:46,2025-05-23 20:54:53,0days 05h:28m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509319,MPLS2025052302487,1000127501,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.78.242,UE,RBL,RBLSGH,Baroda Uttar pradesh GraminBank C o Bank of BarodaShivgarh229308RAIBAREILLY,,,,2025-05-23 15:26:21,2025-05-23 19:25:08,0days 03h:58m,RBL LLM GE,C,RFO PENDING,Electricity supply issue,NA,MPLS VPN LC,WC
MWUE250509317,MPLS2025052302485,1000496255,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.108.70.70,UE,RBL,,BARODA U P BANKGOORHA SHIVGARH ROADNEAR JANTA INTER COLLEGEGOORHA  RAEBARELI 229301RAEBARELI,,,,2025-05-23 15:26:20,2025-05-23 19:25:05,0days 03h:58m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509318,MPLS2025052302486,1000127382,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.75.26,UE,RBL,RBLHLR,Baroda Uttar pradesh GraminBank C o Bank of BarodaHalor229103RAIBAREILLY,,,,2025-05-23 15:26:20,2025-05-23 19:25:08,0days 03h:58m,RBL LLM GE,C,RFO PENDING,Electricity supply issue,NA,MPLS VPN LC,WC
MWUE250509315,MPLS2025052302483,1000558739,Baroda UP Bank BUPB Care of Bank Of Baroda RRB,2 Mbps,10.109.189.6,UE,RBL,RBLRBL,5837KISHUNPUR RAMCHANDRAKISHUNPUR RAMCHANDRAVILL KISHUNPUR RAMCHANDRA PO RATAPURSADARRAEBARELI,,,,2025-05-23 15:26:19,2025-05-23 18:26:25,0days 03h:00m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509316,MPLS2025052302484,1000127200,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.34,UE,RBL,RBLBGJ,Baroda Uttar pradesh GraminBank C o Bank of BarodaBabuganj229404RAIBAREILLY,,,,2025-05-23 15:26:19,2025-05-24 16:23:55,1days 00h:57m,RBL SSA LLM SALON,C,RFO PENDING,Electricity supply issue,NA,MPLS VPN LC,WC
MWUE250509313,MPLS2025052302481,1000127357,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.246,UE,RBL,RBLDVP,Baroda Uttar pradesh GraminBank C o Bank of BarodaDevanandpur PO Ratapur229316RAIBAREILLY,,,,2025-05-23 15:26:18,2025-05-23 18:55:08,0days 03h:28m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509314,MPLS2025052302482,1000127447,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.73.190,UE,RBL,RBLBJP,Baroda Uttar pradesh GraminBank C o Bank of BarodaBhojpur229202RAIBAREILLY,,,,2025-05-23 15:26:18,2025-05-24 16:23:53,1days 00h:57m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509278,MPLS2025052302439,1000127383,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.75.46,UE,RBL,RBLHDI,Baroda Uttar pradesh GraminBank C o Bank of BarodaHardoi229123RAIBAREILLY,,,,2025-05-23 15:25:50,2025-05-24 16:23:55,1days 00h:58m,RBL LLM GE,C,RFO PENDING,Copper too much lossy,NA,MPLS VPN LC,WC
MWUE250509279,MPLS2025052302440,1000127450,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.77.114,UE,RBL,RBLNST,Baroda Uttar pradesh GraminBank C o Bank of BarodaNihastha229208RAIBAREILLY,,,,2025-05-23 15:25:50,2025-05-24 16:23:53,1days 00h:58m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250509277,MPLS2025052302438,1000265586,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,64 Kbps,10.100.77.126,UE,RBL,RBLRBL,Baroda Uttarpradesh Gramin Bank C o Bank of Baroda Paho 229209RAIBAREILLY,,,,2025-05-23 15:25:49,2025-05-24 16:23:53,1days 00h:58m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250509237,207851,1000274617,LIC OF INDIA,2 Mbps,10.249.4.226,UE,RBL,RBLUCH,SO 21UT002 UNCHAHAR  ANSARI PLAZA KABIR CHAURAHA KHOJANPUR UNCHAHAR 535#/00218/18/5311RAIBAREILLY,,,,2025-05-23 14:04:34,2025-05-23 16:03:40,0days 01h:59m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,LIC-API
MSUE250509230,INC000047052772,1000065350,STATE BANK OF INDIA.,2 Mbps,10.126.41.222,UE,RBL,RBLUCH,State Bank of India UnchaharBranch (4344) P O Unchahar(522#/00807/16/5311)1RAIBAREILLY,,,,2025-05-23 13:49:35,2025-05-23 16:04:25,0days 02h:14m,RBL SSA LLM SALON,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250509229,INC000047052764,1000525463,STATE BANK OF INDIA,2 Mbps,10.126.41.122,UE,RBL,RBLUCH,13269 SBI UNACHAHAR MARKET PO O UNCHAHAR MUSTAFABAD UNCHAHAR MARKET DIST RAEBARELI RAIBARAILLY UTTAR PRADesh 229404 PO8006RAIBAREILLY,,,,2025-05-23 13:45:33,2025-05-23 15:29:44,0days 01h:44m,RBL SSA LLM SALON,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MSUE250509231,INC000047052949,1000507633,STATE BANK OF INDIA,2 Mbps,10.126.48.90,UE,RBL,RBLJAG,SBI BR 16708JAGATPURVILL PO JAGATPURJAGATPURRAEBARELI,,,,2025-05-23 13:45:33,2025-05-28 10:48:25,4days 21h:02m,RBL SSA LLM SALON,C,CLOSED,OFC system fault - WIP,NA,MPLS VPN LC,SBI-API
MSUE250509233,INC000047052952,1000323133,STATE BANK OF INDIA,4 Mbps,10.126.48.50,UE,RBL,RBLBGJ,"STATE BANK OF INDIABABUGANJ BRANCH ( 16705 )VILL & PO -BABUGANJ,RAE BARELI - 229401RAIBAREILLY",,,,2025-05-23 13:45:33,2025-05-23 16:36:25,0days 02h:50m,RBL SSA LLM SALON,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
